ME,Houlton Band of Maliseet Indians
AZ,"Hualapai Indian Tribe of the Hualapai Indian Reservation, Arizona"
CA,"Iipay Nation of Santa Ysabel, California"
CA,"Inaja Band of Diegueno Mission Indians of the Inaja and Cosmit Reservation, California"
CA,Ione Band of Miwok Indians of California
KS,Iowa Tribe of Kansas and Nebraska
OK,Iowa Tribe of Oklahoma
CA,Jackson Band of Miwuk Indians
WA,Jamestown S'Klallam Tribe
CA,Jamul Indian Village of California
LA,Jena Band of Choctaw Indians
NM,"Jicarilla Apache Nation, New Mexico"
AZ,"Kaibab Band of Paiute Indians of the Kaibab Indian Reservation, Arizona"
WA,Kalispel Indian Community of the Kalispel Reservation
CA,Karuk Tribe
CA,"Kashia Band of Pomo Indians of the Stewarts Point Rancheria, California"
OK,"Kaw Nation, Oklahoma"
NM,"Kewa Pueblo, New Mexico"
MI,"Keweenaw Bay Indian Community, Michigan"
OK,Kialegee Tribal Town
KS,Kickapoo Tribe of Indians of the Kickapoo Reservation in Kansas
OK,Kickapoo Tribe of Oklahoma
TX,Kickapoo Traditional Tribe of Texas
OK,Kiowa Indian Tribe of Oklahoma
OR,Klamath Tribes
ID,Kootenai Tribe of Idaho
CA,"La Jolla Band of Luiseno Indians, California"
CA,"La Posta Band of Diegueno Mission Indians of the La Posta Indian Reservation, California"
WI,Lac Courte Oreilles Band of Lake Superior Chippewa Indians of Wisconsin
WI,Lac du Flambeau Band of Lake Superior Chippewa Indians of the Lac du Flambeau Reservation of Wisconsin
MI,Lac Vieux Desert Band of Lake Superior Chippewa Indians of Michigan
NV,"Las Vegas Tribe of Paiute Indians of the Las Vegas Indian Colony, Nevada"
MI,"Little River Band of Ottawa Indians, Michigan"
MI,"Little Traverse Bay Bands of Odawa Indians, Michigan"
CA,Koi Nation of Northern California
CA,"Los Coyotes Band of Cahuilla and Cupeno Indians, California"
NV,"Lovelock Paiute Tribe of the Lovelock Indian Colony, Nevada"
SD,"Lower Brule Sioux Tribe of the Lower Brule Reservation, South Dakota"
WA,Lower Elwha Tribal Community
MN,Lower Sioux Indian Community in the State of Minnesota
WA,Lummi Tribe of the Lummi Reservation
CA,Lytton Rancheria of California
WA,Makah Indian Tribe of the Makah Indian Reservation
CA,"Manchester Band of Pomo Indians of the Manchester Rancheria, California"
CA,"Manzanita Band of Diegueno Mission Indians of the Manzanita Reservation, California"
CT,Mashantucket Pequot Indian Tribe
MA,Mashpee Wampanoag Tribe
MI,Match-e-be-nash-she-wish Band of Pottawatomi Indians of Michigan
CA,"Mechoopda Indian Tribe of Chico Rancheria, California"
WI,Menominee Indian Tribe of Wisconsin
CA,"Mesa Grande Band of Diegueno Mission Indians of the Mesa Grande Reservation, California"
NM,"Mescalero Apache Tribe of the Mescalero Reservation, New Mexico"
OK,Miami Tribe of Oklahoma
FL,Miccosukee Tribe of Indians
CA,Middletown Rancheria of Pomo Indians of California
MN,"Minnesota Chippewa Tribe, Minnesota (Six component reservations: Bois Forte Band (Nett Lake); Fond du Lac Band; Grand Portage Band; Leech Lake Band; Mille Lacs Band; White Earth Band)"
MS,Mississippi Band of Choctaw Indians
NV,"Moapa Band of Paiute Indians of the Moapa River Indian Reservation, Nevada"
OK,The Modoc Tribe of Oklahoma
CT,Mohegan Tribe of Indians of Connecticut
CA,Mooretown Rancheria of Maidu Indians of California
CA,"Morongo Band of Mission Indians, California"
WA,Muckleshoot Indian Tribe
OK,The Muscogee (Creek) Nation
RI,Narragansett Indian Tribe
AZ,"Navajo Nation, Arizona, New Mexico & Utah"
ID,Nez Perce Tribe
WA,Nisqually Indian Tribe
WA,Nooksack Indian Tribe
MT,"Northern Cheyenne Tribe of the Northern Cheyenne Indian Reservation, Montana"
CA,Northfork Rancheria of Mono Indians of California
UT,Northwestern Band of the Shoshone Nation
MI,"Nottawaseppi Huron Band of the Potawatomi, Michigan"
SD,Oglala Sioux Tribe
NM,"Ohkay Owingeh, New Mexico"
NE,Omaha Tribe of Nebraska
NY,Oneida Nation of New York
WI,Oneida Nation
NY,Onondaga Nation
OK,The Osage Nation
OK,Ottawa Tribe of Oklahoma
OK,"Otoe-Missouria Tribe of Indians, Oklahoma"
