A001,AZ
A002,CA
A003,WI
A004,CA
A005,NM
A006,CA
A007,CA
A008,AZ
A009,CA
A010,CA
A012,AZ
A013,CA
A014,CA
A015,AZ
A016,MT
A017,MI
A019,MT
A020,WA
A021,WA
A022,OR
A023,OR
A024,OR
A030,WY
A038,CA
A040,MT
A043,MI
A044,AZ
A045,CA
A046,NV
A049,MI
A053,NV
A056,CA
A064,WY
A065,MI
A067,CA
A069,CA
A070,AZ
A070,CA
A077,MI
A081,NY
A084,WI
A087,WA
A097,AZ
R101,WA
R102,WA
R103,WA
R105,WA
R106,WA
R107,WA
R108,WA
R109,WA
R110,WA
R111,WA
R113,WA
R115,WA
R116,WA
R117,WA
R118,WA
R120,WA
R121,WA
R122,WA
R123,WA
R124,WA
R125,WA
R126,WA
R129,WA
R131,WA
R133,WA
R134,WA
R138,WA
R139,WA
R140,OR
R141,OR
R142,OR
R143,OR
R144,OR
R145,OR
R147,OR
R148,OR
R152,OR
R153,OR
R154,WA
R155,OR
R180,ID
R181,ID
R182,ID
R183,ID
R195,UT
R199,AK
R201,MT
R202,MT
R203,MT
R204,MT
R205,MT
R206,MT
R207,MT
R208,MT
R224,MT
R256,ND
R280,WY
R281,WY
R282,WY
R301,ND
R302,ND
R302,SD
R303,ND
R304,MT
R324,ND
R340,SD
R341,SD
R342,SD
R343,SD
R344,NE
R344,SD
R345,SD
R346,SD
R347,ND
R347,SD
R360,SD
R380,NE
R381,NE
R382,NE
R383,NE
R402,MN
R403,WI
R404,MN
R405,MN
R406,MN
R407,MN
R408,MN
R409,MN
R410,MN
R411,MN
R417,MN
R418,MN
R420,MN
R430,WI
R431,WI
R432,WI
R433,WI
R434,WI
R435,WI
R436,WI
R437,WI
R438,WI
R440,WI
R441,WI
R468,MI
R469,MI
R470,MI
R471,MI
R472,MI
R475,MI
R476,MI
R478,MI
R479,MI
R482,MI
R483,MI
R484,MI
R490,IA
R502,CA
R503,CA
R504,CA
R505,CA
R506,CA
R507,CA
R508,CA
R509,CA
R511,CA
R512,CA
R513,CA
R514,CA
R515,CA
R516,CA
R517,CA
R518,CA
R519,CA
R520,CA
R521,CA
R522,CA
R523,CA
R524,CA
R525,CA
R527,CA
R528,CA
R529,CA
R530,CA
R531,CA
R532,CA
R533,CA
R534,CA
R535,CA
R537,CA
R538,CA
R539,CA
R540,CA
R541,CA
R542,CA
R545,CA
R546,CA
R547,CA
R549,CA
R550,CA
R551,CA
R553,CA
R554,CA
R555,CA
R556,CA
R558,CA
R559,CA
R560,CA
R561,CA
R562,CA
R563,CA
R564,CA
R565,CA
R566,CA
R567,CA
R568,CA
R569,CA
R570,CA
R571,CA
R572,CA
R573,CA
R574,CA
R575,CA
R576,CA
R577,CA
R578,CA
R579,CA
R580,CA
R582,CA
R583,CA
R584,CA
R585,CA
R586,CA
R587,CA
R588,CA
R589,CA
R590,CA
R591,CA
R592,CA
R593,CA
R594,CA
R595,CA
R597,CA
R598,CA
R599,CA
R601,AZ
R602,AZ
R603,AZ
R604,AZ
R605,AZ
R606,AZ
R607,AZ
R608,AZ
R609,AZ
R610,AZ
R611,AZ
R612,AZ
R613,AZ
R614,AZ
R615,AZ
R616,AZ
R617,AZ
R618,AZ
R621,CA
R624,CA
R626,CA
R628,CA
R629,CA
R632,CA
R634,CA
R636,CA
R637,CA
R638,CA
R641,ID
R641,NV
R642,NV
R644,NV
R645,NV
R646,NV
R646,OR
R648,NV
R649,NV
R650,NV
R651,NV
R653,NV
R655,NV
R656,NV
R657,NV
R660,NV
R661,NV
R665,AZ
R672,CA
R672,NV
R674,AZ
R681,NV
R681,UT
R682,UT
R687,UT
R688,UT
R689,AZ
R691,CA
R693,CA
R695,CA
R696,AZ
R701,NM
R702,NM
R703,NM
R704,NM
R705,NM
R706,NM
R707,NM
R708,NM
R709,NM
R710,NM
R711,NM
R712,NM
R713,NM
R714,NM
R715,NM
R716,NM
R717,NM
R718,NM
R719,NM
R720,NM
R721,NM
R723,NM
R724,NM
R725,TX
R750,CO
R751,CO
R751,NM
R790,AZ
R791,NM
R792,UT
R801,OK
R802,OK
R803,OK
R810,OK
R811,OK
R812,OK
R813,OK
R814,OK
R820,OK
R821,OK
R822,OK
R823,OK
R824,OK
R826,TX
R830,TX
R860,KS
R861,KS
R862,KS
R863,KS
R864,OK
R920,OK
R921,OK
R922,OK
R923,OK
R924,OK
R925,OK
R926,OK
R927,OK
R999,WA
RA36,CA
RA92,UT
RB36,CA
RB92,UT
RC36,CA
RC92,UT
RD36,CA
RD92,UT
RE36,CA
RF36,CA
RG36,CA
RU40,NV
RV40,NV
RW40,NV
RX40,NV
RY40,NV
RZ40,NV
T001,NC
T006,NY
T007,NY
T008,NY
T009,NY
T011,NY
T013,NY
T014,ME
T015,ME
T016,ME
T018,ME
T019,ME
T020,CT
T026,FL
T027,RI
T028,AL
T030,MA
T031,ME
T032,SC
T033,CT
T034,LA
T336,LA
T480,MI
T804,OK
T825,OK
T901,OK
T902,OK
T903,OK
T904,OK
T905,OK
T906,OK
T907,OK
T908,OK
T909,OK
T930,OK
T970,LA
T971,LA
T980,MS
TW21,FL
TX04,NY
TX21,FL
TY04,NY
TY21,FL
TZ04,NY
TZ21,OK
V003,MA
V005,VA
V009,NY
V011,NY
X001,OR
X002,LA
X003,OR
X004,CT
X005,OK
X006,MA
Y001,OK
Y002,OK
Y003,OK
Y004,OK
Y005,OK
Y006,OK
Y008,OK
Y009,OK
Y010,OK
Y011,OK
Y012,OK
Y013,OK
Y014,OK
Y015,OK
Y016,OK
